gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK
193,-498,48.375,-124.375,1,14,0.0,6,4,True,1.0,0.4482758620689655,0.7241379310344828,0.0,0.6666666666666666,3.69
193,-497,48.375,-124.125,2,4,0.0,30,19,True,0.4988095238095238,0.10344827586206896,0.3011288998357964,0.002380952380952381,0.6333333333333333,4.505
193,-495,48.375,-123.625,7,3,2.25,28,22,True,0.14081632653061224,0.06896551724137931,0.10489092188599577,0.014285714285714285,0.7857142857142857,4.745
193,-494,48.375,-123.375,24,1,0.0,57,8,True,0.039384920634920634,0.0,0.019692460317460317,0.05476190476190476,0.14035087719298245,1.815
194,-499,48.625,-124.625,2,7,1.0,0,0,False,0.4988095238095238,0.20689655172413793,0.35285303776683086,0.002380952380952381,,
194,-498,48.625,-124.375,1,6,0.0,12,3,True,1.0,0.1724137931034483,0.5862068965517242,0.0,0.25,1.85
194,-495,48.625,-123.625,15,1,13.5,35,19,True,0.06444444444444444,0.0,0.03222222222222222,0.03333333333333333,0.5428571428571428,3.555
194,-494,48.625,-123.375,12,1,0.0,22,7,True,0.08115079365079365,0.0,0.04057539682539683,0.02619047619047619,0.3181818181818182,2.14
194,-493,48.625,-123.125,1,2,0.0,2,2,True,1.0,0.034482758620689655,0.5172413793103449,0.0,1.0,
195,-503,48.875,-125.625,34,2,32.666666666666664,55,15,True,0.02710084033613445,0.034482758620689655,0.030791799478412055,0.07857142857142857,0.2727272727272727,2.32
195,-502,48.875,-125.375,2,9,1.0,5,4,True,0.4988095238095238,0.27586206896551724,0.3873357963875205,0.002380952380952381,0.8,4.0
195,-501,48.875,-125.125,6,17,8.0,35,27,True,0.16468253968253968,0.5517241379310345,0.35820333880678706,0.011904761904761904,0.7714285714285715,4.655
195,-499,48.875,-124.625,1,11,0.0,6,2,True,1.0,0.3448275862068966,0.6724137931034483,0.0,0.3333333333333333,1.63
195,-497,48.875,-124.125,1,5,0.0,3,3,True,1.0,0.13793103448275862,0.5689655172413793,0.0,1.0,
195,-496,48.875,-123.875,77,1,12.25,52,12,True,0.010636982065553495,0.0,0.005318491032776747,0.18095238095238095,0.23076923076923078,1.605
