gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
193,-497,48.375,-124.125,1,2,0.0,1,1,True,1.0,0.034482758620689655,0.5172413793103449,0.0,1.0,,,
193,-496,48.375,-123.875,6,1,1.0,6,6,True,0.16437728937728938,0.0,0.08218864468864469,0.013736263736263736,1.0,,,
193,-495,48.375,-123.625,291,1,80.08333333333331,116,28,True,0.0006986141006759562,0.0,0.0003493070503379781,0.7967032967032966,0.2413793103448276,1.985,0.9611496598617257,0.4253279542177928
193,-494,48.375,-123.375,191,1,42.25,198,66,True,0.002502732869225016,0.0,0.001251366434612508,0.521978021978022,0.3333333333333333,3.96,1.775304873574747,0.44211226881256954
194,-498,48.625,-124.375,8,1,2.0,4,4,True,0.12259615384615384,0.0,0.06129807692307692,0.019230769230769232,1.0,,,
194,-496,48.625,-123.875,5,1,10.0,0,0,False,0.19780219780219782,0.0,0.09890109890109891,0.01098901098901099,,,,
194,-495,48.625,-123.625,44,1,182.25,938,139,True,0.020042457542457544,0.0,0.010021228771228772,0.11813186813186813,0.14818763326226012,6.655,5.122996292438241,0.7732659910722295
194,-494,48.625,-123.375,41,1,30.25,64,33,True,0.02170999731975342,0.0,0.01085499865987671,0.10989010989010989,0.515625,4.975,2.055251506458777,0.41561264635630546
194,-493,48.625,-123.125,2,2,1.0,1,1,True,0.49862637362637363,0.034482758620689655,0.2665545661235316,0.0027472527472527475,1.0,,,
195,-503,48.875,-125.625,14,1,25.0,9,7,True,0.06887755102040816,0.0,0.03443877551020408,0.03571428571428571,0.7777777777777778,6.215,1.3348018707840765,0.21487086363111668
195,-501,48.875,-125.125,4,1,2.0,2,2,True,0.24793956043956045,0.0,0.12396978021978022,0.008241758241758242,1.0,,,
195,-498,48.875,-124.375,3,1,3.0,0,0,False,0.3315018315018315,0.0,0.16575091575091574,0.005494505494505495,,,,
195,-497,48.875,-124.125,1,3,0.0,4,3,True,1.0,0.06896551724137931,0.5344827586206896,0.0,0.75,,,
