gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
193,-506,48.375,-126.375,1,11,0.0,0,0,False,1.0,0.3448275862068966,0.6724137931034483,0.0,,,,
193,-497,48.375,-124.125,1,8,0.0,50,7,True,1.0,0.2413793103448276,0.6206896551724138,0.0,0.14,2.57,0.294130460635573,0.11444765005275216
193,-496,48.375,-123.875,5,5,10.0,56,5,True,0.19548022598870057,0.13793103448275862,0.1667056302357296,0.022598870056497175,0.08928571428571429,1.53,0.13188913267517996,0.08620204750011762
193,-495,48.375,-123.625,45,1,2.5,130,13,True,0.016698053986189582,0.0,0.008349026993094791,0.24858757062146894,0.1,1.425,0.6817097194243658,0.47839278556095843
193,-494,48.375,-123.375,178,1,20.25,411,7,True,0.0,0.0,0.0,1.0,0.0170316301703163,0.125,0.02493379711421142,0.19947037691369135
193,-493,48.375,-123.125,1,6,0.0,2,2,True,1.0,0.1724137931034483,0.5862068965517242,0.0,1.0,,,
194,-499,48.625,-124.625,2,18,0.0,5,4,True,0.4971751412429378,0.5862068965517241,0.541691018897331,0.005649717514124294,0.8,4.0,0.28324780123783266,0.07081195030945817
194,-498,48.625,-124.375,15,1,18.0,14,2,True,0.061393596986817324,0.0,0.030696798493408662,0.07909604519774012,0.14285714285714285,1.32,0.03319670643354378,0.02514902002541195
194,-495,48.625,-123.625,15,6,24.5,26,4,True,0.061393596986817324,0.1724137931034483,0.1169036950451328,0.07909604519774012,0.15384615384615385,1.405,0.12627081129095563,0.08987246355228158
194,-494,48.625,-123.375,37,1,2.083333333333332,45,2,True,0.021530004580852042,0.0,0.010765002290426021,0.2033898305084746,0.044444444444444446,0.215,0.04397776147898656,0.20454772780923983
194,-493,48.625,-123.125,1,7,0.0,2,2,True,1.0,0.20689655172413793,0.603448275862069,0.0,1.0,,,
195,-503,48.875,-125.625,15,1,6.25,33,6,True,0.061393596986817324,0.0,0.030696798493408662,0.07909604519774012,0.18181818181818182,1.47,0.04869470128952475,0.03312564713573112
195,-501,48.875,-125.125,9,2,6.25,25,9,True,0.10608913998744507,0.034482758620689655,0.07028594930406737,0.04519774011299435,0.36,2.47,0.16205292380168662,0.0656084711747719
195,-500,48.875,-124.875,1,15,0.0,2,1,True,1.0,0.4827586206896552,0.7413793103448276,0.0,0.5,,,
195,-497,48.875,-124.125,9,1,0.25,26,3,True,0.10608913998744507,0.0,0.053044569993722535,0.04519774011299435,0.11538461538461539,0.485,0.15552302277041627,0.3206660263307552
195,-496,48.875,-123.875,5,3,10.0,10,2,True,0.19548022598870057,0.06896551724137931,0.13222287161503993,0.022598870056497175,0.2,1.275,0.3994851405856551,0.3133216788907099
195,-495,48.875,-123.625,15,3,8.0,28,8,True,0.061393596986817324,0.06896551724137931,0.06517955711409831,0.07909604519774012,0.2857142857142857,2.065,0.2756776936227052,0.13350009376402192
195,-494,48.875,-123.375,15,1,8.0,68,11,True,0.061393596986817324,0.0,0.030696798493408662,0.07909604519774012,0.16176470588235295,2.28,0.5440923342381339,0.23863698870093591
195,-493,48.875,-123.125,3,2,0.5,24,8,True,0.3295668549905838,0.034482758620689655,0.18202480680563674,0.011299435028248588,0.3333333333333333,2.615,0.8152784357898544,0.3117699563249921
196,-505,49.125,-126.125,16,1,1.125,9,1,True,0.057203389830508475,0.0,0.028601694915254237,0.0847457627118644,0.1111111111111111,0.56,0.0786194618618756,0.1403918961819207
196,-504,49.125,-125.875,14,1,2.666666666666666,72,7,True,0.06618240516545601,0.0,0.033091202582728005,0.07344632768361582,0.09722222222222222,1.545,0.3090792485436128,0.20005129355573645
196,-503,49.125,-125.625,7,10,2.25,7,4,True,0.1380145278450363,0.3103448275862069,0.22417967771562158,0.03389830508474576,0.5714285714285714,2.855,0.5022340696263088,0.1759138597640311
196,-502,49.125,-125.375,3,9,0.5,5,3,True,0.3295668549905838,0.27586206896551724,0.3027144619780505,0.011299435028248588,0.6,3.0,0.2717937849767525,0.09059792832558416
196,-501,49.125,-125.125,1,28,0.0,0,0,False,1.0,0.9310344827586207,0.9655172413793103,0.0,,,,
196,-500,49.125,-124.875,1,9,0.0,6,4,True,1.0,0.27586206896551724,0.6379310344827587,0.0,0.6666666666666666,3.44,0.1811182426390927,0.05265065192996881
196,-499,49.125,-124.625,1,23,0.0,0,0,False,1.0,0.7586206896551724,0.8793103448275862,0.0,,,,
196,-498,49.125,-124.375,3,9,0.0,4,3,True,0.3295668549905838,0.27586206896551724,0.3027144619780505,0.011299435028248588,0.75,,,
196,-497,49.125,-124.125,33,1,2.0,28,1,True,0.02482451634994008,0.0,0.01241225817497004,0.1807909604519774,0.03571428571428571,0.17,0.04556355176085963,0.268020892710939
196,-496,49.125,-123.875,131,1,8.166666666666664,200,5,True,0.002026997886746884,0.0,0.001013498943373442,0.7344632768361582,0.025,0.23,0.023798699955810108,0.1034726085035222
196,-495,49.125,-123.625,60,1,0.6666666666666661,193,3,True,0.011111111111111112,0.0,0.005555555555555556,0.3333333333333333,0.015544041450777202,0.15,0.028361862872905274,0.1890790858193685
196,-494,49.125,-123.375,23,1,12.5,19,2,True,0.038074183247359374,0.0,0.019037091623679687,0.12429378531073447,0.10526315789473684,0.515,0.12123650188556016,0.23541068327293235
