gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
193,-496,48.375,-123.875,1,20,0.0,0,0,False,1.0,0.6551724137931034,0.8275862068965517,0.0,,,,
193,-495,48.375,-123.625,18,1,8.0,72,3,True,0.04540023894862604,0.0,0.02270011947431302,0.1827956989247312,0.041666666666666664,1.05,0.049813754607036194,0.039023365924949115
193,-494,48.375,-123.375,94,1,1.5,340,4,True,0.0,0.0,0.0,1.0,0.011764705882352941,0.175,0.2269434023864246,0.20957217507752637
194,-500,48.625,-124.875,1,25,0.0,1,0,True,1.0,0.8275862068965517,0.9137931034482758,0.0,0.0,,,
194,-498,48.625,-124.375,1,9,0.0,2,1,True,1.0,0.27586206896551724,0.6379310344827587,0.0,0.5,,,
194,-496,48.625,-123.875,1,23,0.0,0,0,False,1.0,0.7586206896551724,0.8793103448275862,0.0,,,,
194,-495,48.625,-123.625,8,6,2.0,20,2,True,0.11559139784946236,0.1724137931034483,0.14400259547645533,0.07526881720430108,0.1,1.635,0.5359562637739866,0.2824700748579672
194,-494,48.625,-123.375,38,1,9.0,139,2,True,0.015846066779852855,0.0,0.007923033389926427,0.3978494623655914,0.014388489208633094,0.315,0.14358736958997836,0.13014106073205398
194,-493,48.625,-123.125,2,17,1.0,3,3,True,0.49462365591397844,0.5517241379310345,0.5231738969225065,0.010752688172043012,1.0,,,
195,-503,48.875,-125.625,2,12,1.0,5,1,True,0.49462365591397844,0.3793103448275862,0.4369670003707823,0.010752688172043012,0.2,,,
195,-501,48.875,-125.125,2,12,0.0,5,1,True,0.49462365591397844,0.3793103448275862,0.4369670003707823,0.010752688172043012,0.2,,,
195,-496,48.875,-123.875,4,1,0.0,6,2,True,0.24193548387096775,0.0,0.12096774193548387,0.03225806451612903,0.3333333333333333,,,
195,-495,48.875,-123.625,9,2,0.5,20,6,True,0.10155316606929508,0.034482758620689655,0.06801796234499237,0.08602150537634409,0.3,2.62,0.5378192357351401,0.20361680344824917
195,-494,48.875,-123.375,7,7,6.0,30,2,True,0.1336405529953917,0.20689655172413793,0.17026855235976482,0.06451612903225806,0.06666666666666667,0.86,0.07978623580722374,0.06468403946793014
196,-504,49.125,-125.875,2,7,1.0,3,1,True,0.49462365591397844,0.20689655172413793,0.3507601038190582,0.010752688172043012,0.3333333333333333,,,
196,-503,49.125,-125.625,6,1,1.0,12,2,True,0.15770609318996415,0.0,0.07885304659498207,0.053763440860215055,0.16666666666666666,1.365,0.2360705249670782,0.15956835881588025
196,-500,49.125,-124.875,1,10,0.0,2,2,True,1.0,0.3103448275862069,0.6551724137931034,0.0,1.0,,,
196,-498,49.125,-124.375,6,16,0.0,0,0,False,0.15770609318996415,0.5172413793103449,0.33747373625015453,0.053763440860215055,,,,
196,-497,49.125,-124.125,3,18,0.5,23,7,True,0.3261648745519713,0.5862068965517241,0.4561858855518477,0.021505376344086023,0.30434782608695654,4.195,0.5006271172666054,0.11962158210406637
196,-496,49.125,-123.875,20,2,4.0,51,4,True,0.03978494623655914,0.034482758620689655,0.037133852428624395,0.20430107526881722,0.0784313725490196,0.66,0.10295620063618686,0.08019288876556999
196,-495,49.125,-123.625,4,1,2.0,5,1,True,0.24193548387096775,0.0,0.12096774193548387,0.03225806451612903,0.2,,,
196,-494,49.125,-123.375,1,28,0.0,0,0,False,1.0,0.9310344827586207,0.9655172413793103,0.0,,,,
196,-493,49.125,-123.125,18,1,1.0,51,1,True,0.04540023894862604,0.0,0.02270011947431302,0.1827956989247312,0.0196078431372549,0.275,0.026465858780869857,0.026465858780869857
196,-492,49.125,-122.875,45,2,6.0,95,2,True,0.011708482676224612,0.034482758620689655,0.023095620648457132,0.4731182795698925,0.021052631578947368,0.405,0.6266594062091572,0.6171357070266472
196,-491,49.125,-122.625,11,2,2.0,35,2,True,0.08113391984359726,0.034482758620689655,0.05780833923214346,0.10752688172043011,0.05714285714285714,1.16,0.2079975901460177,0.16685520967757492
196,-490,49.125,-122.375,3,3,3.0,16,5,True,0.3261648745519713,0.06896551724137931,0.19756519589667532,0.021505376344086023,0.3125,3.37,0.41880558533864404,0.12167977042883893
196,-489,49.125,-122.125,17,3,1.0,57,4,True,0.0487033523086654,0.06896551724137931,0.05883443477502236,0.17204301075268819,0.07017543859649122,1.165,0.101539949102252,0.06574760628424338
196,-488,49.125,-121.875,24,2,1.0,30,2,True,0.03136200716845878,0.034482758620689655,0.03292238289457422,0.24731182795698925,0.06666666666666667,1.255,0.34551980634146223,0.23626937143352578
196,-487,49.125,-121.625,6,30,1.0,1,0,True,0.15770609318996415,1.0,0.578853046594982,0.053763440860215055,0.0,,,
196,-485,49.125,-121.125,1,4,0.0,1,1,True,1.0,0.10344827586206896,0.5517241379310345,0.0,1.0,,,
196,-484,49.125,-120.875,2,23,1.0,5,2,True,0.49462365591397844,0.7586206896551724,0.6266221727845754,0.010752688172043012,0.4,,,
196,-480,49.125,-119.875,2,23,1.0,8,5,True,0.49462365591397844,0.7586206896551724,0.6266221727845754,0.010752688172043012,0.625,5.0,0.6894549103926155,0.13789098207852382
196,-479,49.125,-119.625,10,2,2.25,30,6,True,0.09032258064516129,0.034482758620689655,0.06240266963292547,0.0967741935483871,0.2,2.315,0.4576579483823899,0.19049219533523182
196,-478,49.125,-119.375,7,12,2.25,9,0,True,0.1336405529953917,0.3793103448275862,0.25647544891148893,0.06451612903225806,0.0,0.0,0.0,0.0
196,-477,49.125,-119.125,1,25,0.0,1,1,True,1.0,0.8275862068965517,0.9137931034482758,0.0,1.0,,,
196,-476,49.125,-118.875,1,25,0.0,4,1,True,1.0,0.8275862068965517,0.9137931034482758,0.0,0.25,,,
196,-475,49.125,-118.625,2,12,1.0,1,1,True,0.49462365591397844,0.3793103448275862,0.4369670003707823,0.010752688172043012,1.0,,,
196,-474,49.125,-118.375,7,3,2.25,9,4,True,0.1336405529953917,0.06896551724137931,0.10130303511838551,0.06451612903225806,0.4444444444444444,3.73,0.5287497130990999,0.14207980399146516
196,-472,49.125,-117.875,1,24,0.0,2,2,True,1.0,0.7931034482758621,0.896551724137931,0.0,1.0,,,
196,-471,49.125,-117.625,1,15,0.0,15,7,True,1.0,0.4827586206896552,0.7413793103448276,0.0,0.4666666666666667,5.365,0.6808133066437907,0.12476634050483615
196,-470,49.125,-117.375,2,3,0.0,1,1,True,0.49462365591397844,0.06896551724137931,0.28179458657767886,0.010752688172043012,1.0,,,
