gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,o_discover,o_staleness,o_conservation,travel_min,o_env_coverage,o_urgency,rare_newK,w_newK,meanrarity_newK
193,-498,48.375,-124.375,1,14,0.0,6,4,True,1.0,0.4482758620689655,0.7241379310344828,0.0,0.6666666666666666,1.0,0.4482758620689655,0.01673728813559322,,0.010507764443551303,0.04360074442819231,3.69,0.3689369851624012,0.09998292280823881
193,-497,48.375,-124.125,2,4,0.0,30,19,True,0.4988095238095238,0.10344827586206896,0.3011288998357964,0.002380952380952381,0.6333333333333333,0.4988095238095238,0.10344827586206896,0.023040254237288133,,0.008280845850894393,0.06740246614150394,4.505,0.7347657689963982,0.16310005971063224
193,-495,48.375,-123.625,7,3,2.25,28,22,True,0.14081632653061224,0.06896551724137931,0.10489092188599577,0.014285714285714285,0.7857142857142857,0.14081632653061224,0.06896551724137931,0.015298686212851346,16.0,0.008439346229434323,0.055714803592112463,4.745,1.323575559192345,0.2789411083650885
193,-494,48.375,-123.375,24,1,0.0,57,8,True,0.039384920634920634,0.0,0.019692460317460317,0.05476190476190476,0.14035087719298245,0.039384920634920634,0.0,0.02462048505480709,,0.017212268906743013,0.005276947330416274,1.815,0.7585035453251155,0.4179082894353254
194,-499,48.625,-124.625,2,7,1.0,0,0,False,0.4988095238095238,0.20689655172413793,0.35285303776683086,0.002380952380952381,,0.4988095238095238,0.20689655172413793,0.1395081061164333,168.0,0.029667887850753763,0.03219406227690604,,,
194,-498,48.625,-124.375,1,6,0.0,12,3,True,1.0,0.1724137931034483,0.5862068965517242,0.0,0.25,1.0,0.1724137931034483,0.05875706214689266,88.0,0.03667708147349683,0.16007317940825208,1.85,0.46148239853446554,0.24944994515376515
194,-495,48.625,-123.625,15,1,13.5,35,19,True,0.06444444444444444,0.0,0.03222222222222222,0.03333333333333333,0.5428571428571428,0.06444444444444444,0.0,0.02194703628531406,17.0,0.0029880007652732313,0.10132921485838889,3.555,0.7795529385620307,0.21928352702166826
194,-494,48.625,-123.375,12,1,0.0,22,7,True,0.08115079365079365,0.0,0.04057539682539683,0.02619047619047619,0.3181818181818182,0.08115079365079365,0.0,0.02572022557898264,,0.008342994847011523,0.01432490327560598,2.14,0.2358108277288589,0.11019197557423312
194,-493,48.625,-123.125,1,2,0.0,2,2,True,1.0,0.034482758620689655,0.5172413793103449,0.0,1.0,1.0,0.034482758620689655,0.0475517890772128,,0.01930880921870371,0.006740985631528098,,,
195,-503,48.875,-125.625,34,2,32.666666666666664,55,15,True,0.02710084033613445,0.034482758620689655,0.030791799478412055,0.07857142857142857,0.2727272727272727,0.02710084033613445,0.034482758620689655,0.02627446804894582,,0.015403325951849903,0.00868071343091812,2.32,0.25561900370319973,0.11018060504448265
