gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,o_discover,o_staleness,o_conservation,travel_min,o_env_coverage,o_urgency,rare_newK,w_newK,meanrarity_newK
193,-496,48.375,-123.875,2,8,1.0,11,9,True,0.4987684729064039,0.175,0.336884236453202,0.0024630541871921183,0.8181818181818182,0.4987684729064039,0.175,0.09302112029384754,,0.13679718824454187,0.14425146039672648,4.585,0.6142662163784736,0.13397300248167363
193,-495,48.375,-123.625,22,3,40.5,119,40,True,0.04310344827586207,0.05,0.04655172413793104,0.05172413793103448,0.33613445378151263,0.04310344827586207,0.05,0.1399267218711427,16.0,0.2752866519286919,0.04818688940750897,3.075,0.8925687952683751,0.2902662748840244
193,-494,48.375,-123.375,46,2,40.0,324,95,True,0.019329620903833798,0.025,0.0221648104519169,0.11083743842364532,0.2932098765432099,0.019329620903833798,0.025,0.29782365595511406,,0.5108252850435916,0.004548507989252476,3.46,2.062971276354971,0.5962344729349627
194,-498,48.625,-124.375,1,1,0.0,73,32,True,1.0,0.0,0.5,0.0,0.4383561643835616,1.0,0.0,0.024426078971533514,88.0,0.07661492951159046,0.138476821327413,4.175,0.919519096143534,0.2202440948846788
194,-495,48.625,-123.625,5,12,4.5,12,8,True,0.19802955665024632,0.275,0.2365147783251232,0.009852216748768473,0.6666666666666666,0.19802955665024632,0.275,0.02938719887462634,17.0,0.17051712718248588,0.08765206942386611,3.53,0.2930421545006368,0.08301477464607275
194,-494,48.625,-123.375,8,2,18.0,73,35,True,0.12284482758620689,0.025,0.07392241379310345,0.017241379310344827,0.4794520547945205,0.12284482758620689,0.025,0.18714468739701076,,0.3348437757923078,0.012376718421971047,3.32,0.8187319533669948,0.24660601005029964
195,-503,48.875,-125.625,4,6,2.0,23,8,True,0.2481527093596059,0.125,0.18657635467980294,0.007389162561576354,0.34782608695652173,0.2481527093596059,0.125,0.03465002125289206,,0.07041351635135122,0.007493415928669249,3.44,0.20505521821175246,0.059609075061555945
195,-501,48.875,-125.125,1,5,0.0,60,33,True,1.0,0.1,0.55,0.0,0.55,1.0,0.1,0.010707070707070705,,0.07446159645750978,0.057650685705337885,4.655,0.7027526954133603,0.15096728150662947
195,-497,48.875,-124.125,2,16,1.0,29,16,True,0.4987684729064039,0.375,0.43688423645320196,0.0024630541871921183,0.5517241379310345,0.4987684729064039,0.375,0.03615172706081798,76.0,0.05131275066464487,0.25218949943969116,4.295,0.3562549247871863,0.08294643184800612
195,-496,48.875,-123.875,5,3,10.0,11,10,True,0.19802955665024632,0.05,0.12401477832512317,0.009852216748768473,0.9090909090909091,0.19802955665024632,0.05,0.07170313312590453,49.0,0.09452443512303917,0.23835202096704777,4.585,0.6335227505697649,0.13817290088762593
