gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,o_discover,o_staleness,o_conservation,travel_min,o_env_coverage,o_urgency,rare_newK,w_newK,meanrarity_newK
193,-506,48.375,-126.375,1,11,0.0,0,0,False,1.0,0.3448275862068966,0.6724137931034483,0.0,,1.0,0.3448275862068966,0.01244635193133047,,0.05594629488531852,0.0,,,
193,-497,48.375,-124.125,1,8,0.0,50,7,True,1.0,0.2413793103448276,0.6206896551724138,0.0,0.14,1.0,0.2413793103448276,0.03157572041692213,,0.03871707182310145,0.058315015089176664,2.57,0.294130460635573,0.11444765005275216
193,-496,48.375,-123.875,5,5,10.0,56,5,True,0.19548022598870057,0.13793103448275862,0.1667056302357296,0.022598870056497175,0.08928571428571429,0.19548022598870057,0.13793103448275862,0.016695973068958737,,0.02881534260660843,0.14426605885017213,1.53,0.13188913267517996,0.08620204750011762
193,-495,48.375,-123.625,45,1,2.5,130,13,True,0.016698053986189582,0.0,0.008349026993094791,0.24858757062146894,0.1,0.016698053986189582,0.0,0.041889911853110404,16.0,0.024796055436330004,0.04820312665331296,1.425,0.6817097194243658,0.47839278556095843
193,-494,48.375,-123.375,178,1,20.25,411,7,True,0.0,0.0,0.0,1.0,0.0170316301703163,0.0,0.0,0.051128530288431284,,0.04389570036568877,0.004565489674398274,0.125,0.02493379711421142,0.19947037691369135
193,-493,48.375,-123.125,1,6,0.0,2,2,True,1.0,0.1724137931034483,0.5862068965517242,0.0,1.0,1.0,0.1724137931034483,0.03755364806866952,,0.06796025487216263,0.0006653118758321576,,,
194,-499,48.625,-124.625,2,18,0.0,5,4,True,0.4971751412429378,0.5862068965517241,0.541691018897331,0.005649717514124294,0.8,0.4971751412429378,0.5862068965517241,0.01244635193133047,168.0,0.2012229543702079,0.027853539120041744,4.0,0.28324780123783266,0.07081195030945817
194,-498,48.625,-124.375,15,1,18.0,14,2,True,0.061393596986817324,0.0,0.030696798493408662,0.07909604519774012,0.14285714285714285,0.061393596986817324,0.0,0.03967645204046467,88.0,0.2474588009364619,0.13849151829204007,1.32,0.03319670643354378,0.02514902002541195
194,-495,48.625,-123.625,15,6,24.5,26,4,True,0.061393596986817324,0.1724137931034483,0.1169036950451328,0.07909604519774012,0.15384615384615385,0.061393596986817324,0.1724137931034483,0.01699258394432651,17.0,0.010939855858256766,0.08766763342213706,1.405,0.12627081129095563,0.08987246355228158
194,-494,48.625,-123.375,37,1,2.083333333333332,45,2,True,0.021530004580852042,0.0,0.010765002290426021,0.2033898305084746,0.044444444444444446,0.021530004580852042,0.0,0.026782636560930877,,0.022866831605015896,0.012393566563487758,0.215,0.04397776147898656,0.20454772780923983
