gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,o_discover,o_staleness,o_conservation,travel_min,o_env_coverage,o_urgency,rare_newK,w_newK,meanrarity_newK
193,-495,48.375,-123.625,1,23,0.0,11,11,True,1.0,0.30985915492957744,0.6549295774647887,0.0,1.0,1.0,0.30985915492957744,0.0824372759856631,16.0,0.15445342525423825,0.05019367544455986,5.0,2.031034363430742,0.4062068726861484
193,-494,48.375,-123.375,31,3,104.16666666666669,112,38,True,0.03190448689994932,0.028169014084507043,0.030036750492228183,0.010960906101571063,0.3392857142857143,0.03190448689994932,0.028169014084507043,0.5133640552995392,,0.3175632077660338,0.00466338403342597,3.925,2.0383128213166812,0.5193153684883265
194,-495,48.625,-123.625,5,1,10.0,2,2,True,0.1997077091706248,0.0,0.0998538545853124,0.0014614541468761417,1.0,0.1997077091706248,0.0,0.047421682260391944,17.0,0.10897748298563444,0.09136983937042596,,,
194,-494,48.625,-123.375,20,2,18.0,11,11,True,0.049652904640116916,0.014084507042253521,0.031868705841185216,0.006941907197661673,1.0,0.049652904640116916,0.014084507042253521,0.4261887306242145,,0.22702868313297045,0.012830980783021346,5.0,3.464686962671702,0.6929373925343404
195,-503,48.875,-125.625,6,13,15.0,29,18,True,0.16636219705273414,0.16901408450704225,0.1676881407798882,0.001826817683595177,0.6206896551724138,0.16636219705273414,0.16901408450704225,0.09008363201911589,,0.022696782037342673,0.007735966294795382,3.675,2.3733203086370973,0.6458014445271013
195,-501,48.875,-125.125,1,12,0.0,0,0,False,1.0,0.15492957746478872,0.5774647887323944,0.0,,1.0,0.15492957746478872,0.025089605734767026,,0.01958092114041559,0.060067767683817254,,,
195,-498,48.875,-124.375,1,16,0.0,0,0,False,1.0,0.2112676056338028,0.6056338028169014,0.0,,1.0,0.2112676056338028,0.06158357771260998,94.0,0.0028935798931368738,0.23182758131968526,,,
195,-497,48.875,-124.125,1,26,0.0,2,2,True,1.0,0.352112676056338,0.676056338028169,0.0,1.0,1.0,0.352112676056338,0.053763440860215055,76.0,0.014480492605370859,0.26304066888303146,,,
195,-495,48.875,-123.625,2,20,1.0,6,5,True,0.4998173182316405,0.2676056338028169,0.38371147601722866,0.00036536353671903543,0.8333333333333334,0.4998173182316405,0.2676056338028169,0.5698924731182796,,0.17133031599679938,0.03433905816667981,4.19,1.998511007450234,0.4769716008234448
195,-494,48.875,-123.375,3,8,3.0,8,8,True,0.3330897576421873,0.09859154929577464,0.21584065346898096,0.0007307270734380709,1.0,0.3330897576421873,0.09859154929577464,0.5029868578255675,67.0,0.18902783650304086,0.010590509584470211,5.0,2.632512618804859,0.5265025237609718
