gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,o_discover,o_staleness,o_conservation,travel_min,o_env_coverage,o_urgency,rare_newK,w_newK,meanrarity_newK
193,-496,48.375,-123.875,1,20,0.0,0,0,False,1.0,0.6551724137931034,0.8275862068965517,0.0,,1.0,0.6551724137931034,0.060975210400497755,,0.01769886451068191,0.16674758862956562,,,
193,-495,48.375,-123.625,18,1,8.0,72,3,True,0.04540023894862604,0.0,0.02270011947431302,0.1827956989247312,0.041666666666666664,0.04540023894862604,0.0,0.09318382750201942,16.0,0.008997334911450777,0.055714803592112463,0.75,0.03545803120771582,0.04727737494362109
193,-494,48.375,-123.375,94,1,1.5,340,4,True,0.0,0.0,0.0,1.0,0.011764705882352941,0.0,0.0,0.05082992330631771,,0.019322298021674775,0.005276947330416274,0.125,0.1583635331701151,1.2669082653609207
194,-500,48.625,-124.875,1,25,0.0,1,0,True,1.0,0.8275862068965517,0.9137931034482758,0.0,0.0,1.0,0.8275862068965517,0.013762604601513505,,0.11232216174556939,0.00868071343091812,,,
194,-498,48.625,-124.375,1,9,0.0,2,1,True,1.0,0.27586206896551724,0.6379310344827587,0.0,0.5,1.0,0.27586206896551724,0.025613736341705686,88.0,0.3465635959714378,0.16007317940825208,,,
194,-496,48.625,-123.875,1,23,0.0,0,0,False,1.0,0.7586206896551724,0.8793103448275862,0.0,,1.0,0.7586206896551724,0.0,64.0,0.013911466128439959,0.32282791189236265,,,
194,-495,48.625,-123.625,8,6,2.0,20,2,True,0.11559139784946236,0.1724137931034483,0.14400259547645533,0.07526881720430108,0.1,0.11559139784946236,0.1724137931034483,0.04098592859767828,17.0,0.0,0.10132921485838889,1.235,0.3110718756745032,0.2518800612749013
194,-494,48.625,-123.375,38,1,9.0,139,2,True,0.015846066779852855,0.0,0.007923033389926427,0.3978494623655914,0.014388489208633094,0.015846066779852855,0.0,0.04676864234222489,,0.006191925896666501,0.01432490327560598,0.315,0.12622537738331774,0.40071548375656424
194,-493,48.625,-123.125,2,17,1.0,3,3,True,0.49462365591397844,0.5517241379310345,0.5231738969225065,0.010752688172043012,1.0,0.49462365591397844,0.5517241379310345,0.0071511195393698605,,0.022052127850129357,0.006740985631528098,,,
195,-503,48.875,-125.625,2,12,1.0,5,1,True,0.49462365591397844,0.3793103448275862,0.4369670003707823,0.010752688172043012,0.2,0.49462365591397844,0.3793103448275862,0.019688170471609593,,0.1377274066011824,0.00868071343091812,1.0,0.02949274585551476,0.02949274585551476
195,-501,48.875,-125.125,2,12,0.0,5,1,True,0.49462365591397844,0.3793103448275862,0.4369670003707823,0.010752688172043012,0.2,0.49462365591397844,0.3793103448275862,0.013762604601513505,,0.19737456419577998,0.06665319273136158,1.0,0.02949274585551476,0.02949274585551476
195,-496,48.875,-123.875,4,1,0.0,6,2,True,0.24193548387096775,0.0,0.12096774193548387,0.03225806451612903,0.3333333333333333,0.24193548387096775,0.0,0.010732991976201214,49.0,0.01091389640524453,0.27551034274503505,1.775,0.1635145890412483,0.09212089523450609
195,-495,48.875,-123.625,9,2,0.5,20,6,True,0.10155316606929508,0.034482758620689655,0.06801796234499237,0.08602150537634409,0.3,0.10155316606929508,0.034482758620689655,0.03891036953057629,,0.0035875179778046026,0.038151267700699994,1.71,0.33330820755590146,0.19491708044204764
195,-494,48.875,-123.375,7,7,6.0,30,2,True,0.1336405529953917,0.20689655172413793,0.17026855235976482,0.06451612903225806,0.06666666666666667,0.1336405529953917,0.20689655172413793,0.010062394313007693,67.0,0.003216160804510236,0.0118429388346018,0.585,0.058687579156740076,0.10032064813117962
196,-504,49.125,-125.875,2,7,1.0,3,1,True,0.49462365591397844,0.20689655172413793,0.3507601038190582,0.010752688172043012,0.3333333333333333,0.49462365591397844,0.20689655172413793,0.006881302300756753,,0.18675245818164937,0.005424829998687375,,,
196,-503,49.125,-125.625,6,1,1.0,12,2,True,0.15770609318996415,0.0,0.07885304659498207,0.053763440860215055,0.16666666666666666,0.15770609318996415,0.0,0.013125446981073062,124.0,0.23958360764168427,0.014662567305098106,0.825,0.1435490083960687,0.17399879805584087
196,-500,49.125,-124.875,1,10,0.0,2,2,True,1.0,0.3103448275862069,0.6551724137931034,0.0,1.0,1.0,0.3103448275862069,0.0,88.0,0.13546470506263897,0.16828311042087085,,,
196,-498,49.125,-124.375,6,16,0.0,0,0,False,0.15770609318996415,0.5172413793103449,0.33747373625015453,0.053763440860215055,,0.15770609318996415,0.5172413793103449,0.006881302300756753,67.0,0.025396419956041586,0.4094822225955324,,,
196,-497,49.125,-124.125,3,18,0.5,23,7,True,0.3261648745519713,0.5862068965517241,0.4561858855518477,0.021505376344086023,0.30434782608695654,0.3261648745519713,0.5862068965517241,0.06147900345018204,34.0,0.0032453158820707276,0.4568614564822128,3.1,0.3807442304551739,0.122820719501669
196,-496,49.125,-123.875,20,2,4.0,51,4,True,0.03978494623655914,0.034482758620689655,0.037133852428624395,0.20430107526881722,0.0784313725490196,0.03978494623655914,0.034482758620689655,0.054128670609605946,3.0,0.0022485517789684354,0.06954183594476221,0.37,0.057322644132202207,0.15492606522216812
196,-495,49.125,-123.625,4,1,2.0,5,1,True,0.24193548387096775,0.0,0.12096774193548387,0.03225806451612903,0.2,0.24193548387096775,0.0,0.007335206143209551,,0.003525640497705477,0.0019002925455208078,1.0,0.02949274585551476,0.02949274585551476
196,-494,49.125,-123.375,1,28,0.0,0,0,False,1.0,0.9310344827586207,0.9655172413793103,0.0,,1.0,0.9310344827586207,0.013762604601513505,,0.003107828364117546,0.0,,,
196,-493,49.125,-123.125,18,1,1.0,51,1,True,0.04540023894862604,0.0,0.02270011947431302,0.1827956989247312,0.0196078431372549,0.04540023894862604,0.0,0.044664043201051634,4.0,0.0012701088821903991,0.018044154276363366,0.18,0.01732310756566027,0.0962394864758904
196,-492,49.125,-122.875,45,2,6.0,95,2,True,0.011708482676224612,0.034482758620689655,0.023095620648457132,0.4731182795698925,0.021052631578947368,0.011708482676224612,0.034482758620689655,0.43785736063400826,0.0,0.0006440376597377817,0.026522760973146715,0.265,0.3969477819270162,1.4979161582151554
196,-491,49.125,-122.625,11,2,2.0,35,2,True,0.08113391984359726,0.034482758620689655,0.05780833923214346,0.10752688172043011,0.05714285714285714,0.08113391984359726,0.034482758620689655,0.03686603861345914,1.0,0.0039023135825298058,0.07106749651955985,0.845,0.16190288610266965,0.1916010486422126
196,-490,49.125,-122.375,3,3,3.0,16,5,True,0.3261648745519713,0.06896551724137931,0.19756519589667532,0.021505376344086023,0.3125,0.3261648745519713,0.06896551724137931,0.04465208816604548,11.0,0.006098518497656926,0.07997989230009037,2.395,0.31731482240541914,0.1324905312757491
196,-489,49.125,-122.125,17,3,1.0,57,4,True,0.0487033523086654,0.06896551724137931,0.05883443477502236,0.17204301075268819,0.07017543859649122,0.0487033523086654,0.06896551724137931,0.06261031068207555,11.0,0.021178709796702794,0.07649724851859553,0.71,0.06299494113812978,0.08872526920863351
